National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Hydro Type,Lead Party Name,Region
"LCSMH-1","2__PMARB001","Lochaber Hydro",80.000,"NPSHYD","Non-Pumped Storage","Marble Power Limited",""
"CLAC-1","E_CLAC-1","Clachan G1",43.380,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FASN3","E_FASN-3","Fasnakyle  G3",24.200,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FASN-4","E_FASN-4","Fasnakyle G4",8.320,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-BEU01","M_CAS-BEU01","Beauly Cascade",93.514,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-CLU01","M_CAS-CLU01","Clunie Cascade",76.200,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-CON01","M_CAS-CON01","Conon Cascade",90.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-GAR01","M_CAS-GAR01","Garry Cascade",40.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-KIL01","M_CAS-KIL01","Killin Cascade",70.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CAS-MOR01","M_CAS-MOR01","Moriston Cascade",74.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"SLOY-1","M_SLOY-1","Sloy G1",50.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"SLOY-4","M_SLOY-4","Sloy G4",40.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"CRUA-1","T_CRUA-1","T_CRUA-1",123.000,"PS","Pumped Storage","Drax Pumped Storage Limited",""
"CRUA-2","T_CRUA-2","T_CRUA-2",124.760,"PS","Pumped Storage","Drax Pumped Storage Limited",""
"CRUA-3","T_CRUA-3","T_CRUA-3",100.000,"PS","Pumped Storage","Drax Pumped Storage Limited",""
"CRUA-4","T_CRUA-4","T_CRUA-4",104.000,"PS","Pumped Storage","Drax Pumped Storage Limited",""
"DINO-1","T_DINO-1","Dinorwig 1",320.000,"PS","Pumped Storage","First Hydro Company",""
"DINO-2","T_DINO-2","Dinorwig 2",320.000,"PS","Pumped Storage","First Hydro Company",""
"DINO-3","T_DINO-3","Dinorwig 3",320.000,"PS","Pumped Storage","First Hydro Company",""
"DINO-4","T_DINO-4","Dinorwig 4",320.000,"PS","Pumped Storage","First Hydro Company",""
"DINO-5","T_DINO-5","Dinorwig 5",320.000,"PS","Pumped Storage","First Hydro Company",""
"DINO-6","T_DINO-6","Dinorwig 6",320.000,"PS","Pumped Storage","First Hydro Company",""
"ERRO-1","T_ERRO-1","Errochty G1",25.300,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"ERRO-2","T_ERRO-2","Errochty G2",25.260,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"ERRO-3","T_ERRO-3","Errochty G3",25.660,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FASN-1","T_FASN-1","Fasnakyle G1",23.040,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FASN2","T_FASN-2","Fasnakyle  G2",23.280,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FFES-1","T_FFES-1","Ffestioniog 1",91.033,"PS","Pumped Storage","First Hydro Company",""
"FFES-2","T_FFES-2","Ffestioniog 2",91.875,"PS","Pumped Storage","First Hydro Company",""
"FFES-3","T_FFES-3","Ffestioniog 3",90.000,"PS","Pumped Storage","First Hydro Company",""
"FFES-4","T_FFES-4","Ffestioniog 4",90.000,"PS","Pumped Storage","First Hydro Company",""
"FINL-1","T_FINL-1","Finlarig",16.802,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"FOYE-1","T_FOYE-1","Foyers G1",160.000,"PS","Pumped Storage","SSE Generation Ltd",""
"FOYE-2","T_FOYE-2","Foyers G2",160.000,"PS","Pumped Storage","SSE Generation Ltd",""
"GLNDO-1","T_GLNDO-1","Glendoe Generator 1",100.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"NANT-1","T_NANT-1","Nant",20.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"SLOY-2","T_SLOY-2","Sloy G2",41.000,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""
"SLOY-3","T_SLOY-3","Sloy G3",41.460,"NPSHYD","Non-Pumped Storage","SSE Generation Ltd",""